"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-09","10.29","0.00",,"72","60","  300","  300","21.0","34.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-10","7.61","0.00",,"79","60","  300","  290","16.1","21.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-11","7.83","0.00",,"88","59","  310","  300","16.1","19.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-12","10.74","0.00",,"75","57","  290","  280","25.1","38.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-13","11.63","0.00",,"70","57","  310","  310","23.0","38.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-14","11.41","0.00",,"70","59","  300","  320","21.0","38.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-15","12.08","0.00",,"71","59","  280","  300","18.1","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-16","12.08","0.00",,"72","60","  290","  280","23.9","36.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-17","10.29","0.00",,"71","58","  280","  300","18.1","32.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-18","8.28","0.00",,"75","59","  290","  310","18.1","33.1",,,,"    1"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-19","8.28","0.00",,"84","56","  290","  300","18.1","32.0",,,,"    1"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-20","9.40","0.00",,"73","59","  280","  300","21.0","33.1",,,,"    1"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-21","8.28","0.00",,"66","58","  270","  260","18.1","23.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-22","7.16","0.00",,"77","57","  290","  290","16.1","19.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-23","7.16","0.00",,"84","60","  310","  300","18.1","21.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-24","10.07","0.00",,"80","64","  310","  310","25.1","40.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-25","9.40","0.00",,"81","61","  290","  310","16.1","19.9",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-26","10.74","0.00",,"70","58","  300","  310","28.0","40.0",,,,"    1"
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-27","11.86","0.00",,"63","58","  270","  250","18.1","25.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-28","9.40","0.00",,"72","58","  310","  320","19.9","35.1",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-29","9.84","0.00",,"69","59","  290","  300","17.0","30.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-30","9.62","0.00",,"72","60","  290","  300","23.0","34.0","    1",,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-07-31","8.72","0.00",,"74","59","  290","  290","17.0","21.0",,,,
"USW00023230","OAKLAND INTERNATIONAL AIRPORT, CA US","2024-08-01",,"0.00",,"75","58",,,,,,,,
